Material_Pair,Core_Formula,Shell_Formula,Master_Consensus_Score,Master_Confidence_Index_%,Score_Delta,DualTree_Score,MultiParadigm_Score,DualTree_Agreement_%,MultiParadigm_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry,Core_a_A,Shell_a_A,Lattice_Mismatch_pct,Strain_Decay_Factor,Synthesizability_Index,Synthesis_Regime,Confinement_Gain_vs_Lit,Synth_Gain_vs_Lit,Dielectric_Gain_vs_Lit,Composite_Benchmark_Index,Benchmark_Tier
Ba2MnSe3 / Ba2HoCl7,Ba2MnSe3,Ba2HoCl7,0.6841330812784814,72.30754373238115,0.0463077547082222,0.6609792039243703,0.7072869586325925,66.43337764003661,85.20368156716917,1.322916997726819,5.4559,4.133,17.526026148831015,-1.0944490683396175,-0.1297846600532301,5.7412,6.0199,4.854385842680968,0.7455073069013394,0.7452398029625261,Semi-Coherent (Moderate Strain Risk),1.148,1.101,8.48,2.9648,Tier 1: Next-Gen Breakthrough
Ba2Tl2O5 / Ba2Ca(BO2)6,Ba2Tl2O5,Ba2Ca(BO2)6,0.5974366457954121,81.36665884557694,0.0137660300060666,0.5905536307923788,0.6043196607984455,75.0028760295399,90.00190239251639,1.0156169977268188,5.0129,3.9973,19.213913209575576,-1.1492170569179887,-0.1800965651814975,4.7113,4.1748,11.387515123214383,0.5021056792786953,0.3778732384606088,Requires Buffer Layer (High Dislocation Risk),1.11,0.558,9.297,2.9639,Tier 2: Competitive Alternative
Ba2InCuO4 / Ba(PO3)2,Ba2InCuO4,Ba(PO3)2,0.6906616857630554,71.02582231028994,0.0481323834696016,0.6665954940282546,0.7147278774978563,64.54251879855609,84.69214593178185,1.3662169977268188,5.4349,4.0687,17.40684437120676,-0.7557097571428559,-0.0567011576179123,4.5464,4.3882,3.47967622734471,0.8101625181462656,0.7802553472587507,Semi-Coherent (Moderate Strain Risk),1.13,1.153,8.423,2.9613,Tier 1: Next-Gen Breakthrough
Ba3TaAs3O / B5H4NO8,Ba3TaAs3O,B5H4NO8,0.5889460305001903,78.35465385350166,0.0197417001971521,0.5790751804016143,0.5988168805987665,71.24320464130874,88.6221163037127,1.3373169977268191,5.7298,4.3925,19.100007640003057,-0.6331641966296311,-0.2919294251565168,4.0931,3.4533,15.631184188023742,0.3884127782554097,0.3146783507797479,Requires Buffer Layer (High Dislocation Risk),1.22,0.465,9.242,2.9613,Tier 2: Competitive Alternative
Ba3Sb2Se7 / Ba2HoCl7,Ba3Sb2Se7,Ba2HoCl7,0.6364166818059449,78.11897869069273,0.0307074191552467,0.6210629722283215,0.6517703913835683,72.81439368439744,88.37321929126537,1.1737615750124288,5.4559,4.2821,17.526026148831015,-1.4217361496744798,0.0142219938815067,6.0464,6.0199,0.4382773220428753,0.9738326785982928,0.7041385231830363,Coherent Epitaxy (Low Strain Risk),1.189,1.041,8.48,2.9601,Tier 1: Next-Gen Breakthrough
Ba2Ni(PO4)2 / AlPO4,Ba2Ni(PO4)2,AlPO4,0.60100664819929,81.31616744741861,0.0163313963304737,0.5928409500340531,0.6091723463645269,75.04098898722876,90.2914555862236,1.1930169977268188,5.6178,4.424799999999999,18.45154623957488,-0.2092177659355902,0.0108931477128909,4.4076,4.0145,8.918685906162093,0.5829927681099074,0.456538496328244,Requires Buffer Layer (High Dislocation Risk),1.229,0.675,8.928,2.9598,Tier 2: Competitive Alternative
Ba3In2O6 / AlPO4,Ba3In2O6,AlPO4,0.6136653640843674,79.6189308038832,0.028661492179537,0.5993346179945989,0.6279961101741359,74.86184401747389,89.07468307962654,1.107916997726819,5.6178,4.5099,18.45154623957488,-0.6252748081475454,-0.0864542451052129,4.7259,4.0145,15.05321737658436,0.402234651167469,0.4310772801958978,Requires Buffer Layer (High Dislocation Risk),1.253,0.637,8.928,2.9561,Tier 2: Competitive Alternative
Ba2Mn3(SeO3)6 / B5H4NO8,Ba2Mn3(SeO3)6,B5H4NO8,0.5851939304559863,82.3902136475406,0.0210175620310866,0.574685149440443,0.5957027114715296,77.7010111226994,90.61705149438876,1.241516997726819,5.7298,4.4883,19.100007640003057,-0.3318333627495524,-0.0687788249448566,4.477,3.4533,22.86575832030378,0.2507300595886532,0.2838254687195103,Requires Buffer Layer (High Dislocation Risk),1.247,0.419,9.242,2.956,Tier 2: Competitive Alternative
Ba2Ni(PO4)2 / Ba2Ca(BO2)6,Ba2Ni(PO4)2,Ba2Ca(BO2)6,0.5833361863303341,81.82927327241968,0.0215219444005995,0.5725752141300343,0.5940971585306338,76.93182806632484,90.32644166010728,1.1930169977268188,5.0129,3.8199,19.213913209575576,-0.1960114136538449,-0.1161025157726642,4.4076,4.1748,5.281786005989656,0.7264772918606479,0.3984497767437621,Requires Buffer Layer (High Dislocation Risk),1.061,0.589,9.297,2.9548,Tier 2: Competitive Alternative
Ba2InBiSe5 / Ba2HoCl7,Ba2InBiSe5,Ba2HoCl7,0.6525369064504033,75.1548693085262,0.0324563149567052,0.6363087489720507,0.6687650639287559,68.35209259275953,86.99979584453253,1.316416997726819,5.4559,4.1395,17.526026148831015,-1.396953462679399,-0.2094214277086604,5.9323,6.0199,1.4766616657957303,0.9145363798724884,0.7104038835396349,Coherent Epitaxy (Low Strain Risk),1.15,1.05,8.48,2.9475,Tier 1: Next-Gen Breakthrough
Ba3GaAs3 / Al2H16S3O20,Ba3GaAs3,Al2H16S3O20,0.5901778647453104,80.61781457768058,0.0250895972865332,0.5776330661020438,0.602722663388577,75.77439447969124,89.61067958105757,0.994416997726819,5.6055,4.6111,18.38077615890793,-0.7327546926524386,-0.2003209646288304,3.9379,4.348,10.414180146778738,0.5325609654307425,0.4072057283291431,Requires Buffer Layer (High Dislocation Risk),1.281,0.602,8.894,2.9464,Tier 2: Competitive Alternative
AgRh(SO4)2 / Al2H16S3O20,AgRh(SO4)2,Al2H16S3O20,0.6255152063569653,78.96172909131214,0.026061293495475,0.6124845596092279,0.6385458531047029,73.27353896448241,88.87573914503336,1.4293169977268192,5.6055,4.1762,18.38077615890793,-0.2703972475135516,-0.0830419999042191,4.8311,4.348,9.999793007803612,0.5460812651877992,0.4983061513293739,Requires Buffer Layer (High Dislocation Risk),1.16,0.736,8.894,2.9452,Tier 2: Competitive Alternative
Ba2Tl2O5 / AlPO4,Ba2Tl2O5,AlPO4,0.5972260884038586,81.17983216500707,0.0256795600349104,0.5843863083864034,0.6100658684213138,76.76594076796314,89.8729366180348,1.0156169977268188,5.6178,4.6022,18.45154623957488,-1.162423409199734,-0.0495849810959976,4.7113,4.0145,14.789973043533625,0.4086920383065182,0.3899182694938198,Requires Buffer Layer (High Dislocation Risk),1.278,0.576,8.928,2.9451,Tier 2: Competitive Alternative
Ba3ThSe7 / Ba2HoCl7,Ba3ThSe7,Ba2HoCl7,0.6560130138437938,75.22642101225486,0.0411028665338116,0.635461580576888,0.6765644471106996,70.25824750864204,86.64371493717105,1.178416997726819,5.4559,4.2775,17.526026148831015,-0.9288281791903364,0.0178375219170075,6.3102,6.0199,4.600488098633961,0.7570473106303788,0.6756267311804214,Semi-Coherent (Moderate Strain Risk),1.188,0.998,8.48,2.9448,Tier 1: Next-Gen Breakthrough
Ba3In2O6 / Ba2Ca(BO2)6,Ba3In2O6,Ba2Ca(BO2)6,0.5989713008512646,79.35864137481049,0.0218622367446312,0.588040182478949,0.6099024192235802,73.22684243985648,89.03791075951838,1.107916997726819,5.0129,3.905,19.213913209575576,-0.6120684558658,-0.2257618437900127,4.7259,4.1748,11.661270869040816,0.4938581802243505,0.3592672106691513,Requires Buffer Layer (High Dislocation Risk),1.085,0.531,9.297,2.944,Tier 2: Competitive Alternative
Ba2Mn3(SeO3)6 / Ba2B11H7O22,Ba2Mn3(SeO3)6,Ba2B11H7O22,0.5998571142404278,79.36573480036523,0.0299760349140085,0.5848690967834235,0.614845131697432,75.05359901125459,88.5830484468926,1.241516997726819,5.6652,4.4237,18.725422882466763,-0.7309006829909526,0.1862920179939869,4.477,3.737,16.528925619834713,0.3678794411714423,0.3573788066352498,Requires Buffer Layer (High Dislocation Risk),1.229,0.528,9.061,2.9415,Tier 2: Competitive Alternative
Ba3Sb2Se7 / Ba2DyCl7,Ba3Sb2Se7,Ba2DyCl7,0.639970512639172,78.78734255631467,0.024410248686842,0.627765388295751,0.6521756369825931,72.57047293218102,88.94689120631217,1.1737615750124288,5.4194,4.2456,17.31921624773407,-1.4250768693411453,0.0057471264367816,6.0464,6.0236,0.3770838846255648,0.977444686895498,0.7204430153044342,Coherent Epitaxy (Low Strain Risk),1.179,1.065,8.38,2.9394,Tier 1: Next-Gen Breakthrough
Ba3(AlAs2)2 / Ba2CaP4(H3O8)2,Ba3(AlAs2)2,Ba2CaP4(H3O8)2,0.6315408653551107,79.25886331259228,0.0301699533249445,0.6164558886926383,0.6466258420175829,74.6463401450918,88.80263441353665,1.311930106189244,5.4657,4.1538,17.581490207109955,-1.6114379490311976,-0.1690981751649092,3.8727,3.8994,0.689441474939963,0.9591467332998076,0.6775329421188757,Coherent Epitaxy (Low Strain Risk),1.154,1.001,8.507,2.9388,Tier 1: Next-Gen Breakthrough
Ba2SnSe5 / Ba2HoCl7,Ba2SnSe5,Ba2HoCl7,0.6581395417017537,75.64657832235554,0.0318513238674649,0.6422138797680212,0.6740652036354862,69.0090984070678,87.26148314150394,1.3426169977268192,5.4559,4.1133,17.526026148831015,-1.3552795838476568,0.0130552111443366,6.2206,6.0199,3.226376876828607,0.8226735619394416,0.6979034644582733,Semi-Coherent (Moderate Strain Risk),1.143,1.031,8.48,2.9381,Tier 1: Next-Gen Breakthrough
AgRh(SO4)2 / B5H4NO8,AgRh(SO4)2,B5H4NO8,0.6072562876082118,77.26322405919753,0.0291742949280957,0.5926691401441639,0.6218434350722597,71.21591846136205,87.9542058061552,1.4293169977268192,5.7298,4.3005,19.100007640003057,-0.7087933599074097,-0.2536216718986164,4.8311,3.4533,28.51938481919232,0.1780977394133779,0.2889244162170999,Requires Buffer Layer (High Dislocation Risk),1.195,0.427,9.242,2.9378,Tier 2: Competitive Alternative
AgRh(SO4)2 / Ba2B11H7O22,AgRh(SO4)2,Ba2B11H7O22,0.6246890964688343,78.43651631614708,0.0252766101054772,0.6120507914160956,0.6373274015215729,72.23413522647644,88.70694227169437,1.4293169977268192,5.6652,4.2359,18.725422882466763,-1.1078606801488098,0.0099388559692154,4.8311,3.737,22.647016207488974,0.2540702486908086,0.3859503847668071,Requires Buffer Layer (High Dislocation Risk),1.177,0.57,9.061,2.9355,Tier 2: Competitive Alternative
Ba3Zr2S7 / Ba2HoCl7,Ba3Zr2S7,Ba2HoCl7,0.6452684960155064,77.45366402991054,0.0271361753074266,0.6317004083617931,0.6588365836692197,71.02324836226896,88.20492327703737,1.082816997726819,5.4559,4.3731,17.526026148831015,-0.7176763406250006,-0.1261576456060918,5.6641,6.0199,6.281668755848227,0.6838333990081347,0.6305337399376357,Requires Buffer Layer (High Dislocation Risk),1.215,0.932,8.48,2.9321,Tier 2: Competitive Alternative
Ba2MnSe3 / Ba2DyCl7,Ba2MnSe3,Ba2DyCl7,0.6834921631131498,71.89807722749512,0.0473565492058873,0.6598138885102061,0.7071704377160934,65.8883466249928,85.05601176546631,1.322916997726819,5.4194,4.096500000000001,17.31921624773407,-1.097789788006283,-0.1398510923959477,5.7412,6.0236,4.918832299867623,0.7426062253140493,0.7359520249983267,Semi-Coherent (Moderate Strain Risk),1.138,1.088,8.38,2.9309,Tier 1: Next-Gen Breakthrough
Ba3Sb2Se7 / Ba2B11H7O22,Ba3Sb2Se7,Ba2B11H7O22,0.6141204208242121,80.3460663098787,0.0255101836160281,0.601365329016198,0.6268755126322262,75.34777840827573,89.55095107874531,1.1737615750124288,5.6652,4.4914,18.725422882466763,-1.1252187637121769,-0.0800195929999554,6.0464,3.737,38.194628208520776,0.0991843532352275,0.3215097757757424,Requires Buffer Layer (High Dislocation Risk),1.248,0.475,9.061,2.9305,Tier 2: Competitive Alternative
Ba3Zr6BeCl18 / AlPO4,Ba3Zr6BeCl18,AlPO4,0.6398372759877891,76.50643681313619,0.0282425750707443,0.6257159884524168,0.6539585635231612,69.73274475532236,87.72720327379795,1.2822169977268187,5.6178,4.3356,18.45154623957488,-0.8402474729960305,-0.1663437586493219,5.4707,4.0145,26.618165865428555,0.1998078678611784,0.4173420152377954,Requires Buffer Layer (High Dislocation Risk),1.204,0.617,8.928,2.9296,Tier 2: Competitive Alternative
Ba2YCoO5 / AlPO4,Ba2YCoO5,AlPO4,0.5860686352070734,83.08064105109256,0.0236250017755291,0.5742561343193088,0.597881136094838,79.50008761872427,90.68174047432188,1.0272169977268188,5.6178,4.5906,18.45154623957488,-0.3185102874404744,-0.0667450877880887,4.7072,4.0145,14.715754588715166,0.4105312802541377,0.3606902476538473,Requires Buffer Layer (High Dislocation Risk),1.275,0.533,8.928,2.9287,Tier 2: Competitive Alternative
Ba3ThSe7 / Ba2DyCl7,Ba3ThSe7,Ba2DyCl7,0.6616105589832979,75.51650968765875,0.0401004306094879,0.641560343678554,0.681660774288042,70.43771412310909,86.90480814848218,1.178416997726819,5.4194,4.241,17.31921624773407,-0.9321688988570018,0.0093845791087007,6.3102,6.0236,4.541852873126049,0.7597376529176827,0.6966843134349623,Semi-Coherent (Moderate Strain Risk),1.178,1.03,8.38,2.9266,Tier 1: Next-Gen Breakthrough
Ba(GdSe2)2 / Ba2HoCl7,Ba(GdSe2)2,Ba2HoCl7,0.6737221197543308,72.62644360850125,0.0430316490041463,0.6522062952522576,0.695237944256404,66.30265758900369,85.48176356332326,1.481060739031996,5.4559,3.9749,17.526026148831015,-0.6128800168750037,-0.0451080530327807,5.772,6.0199,4.294871794871788,0.7711751616644775,0.7050607408414943,Semi-Coherent (Moderate Strain Risk),1.104,1.042,8.48,2.9264,Tier 1: Next-Gen Breakthrough
Ba2InBiSe5 / Ba2DyCl7,Ba2InBiSe5,Ba2DyCl7,0.6571290003098664,75.17735603205217,0.030106698428295,0.6420756510957188,0.6721823495240139,67.93577088335958,87.08613907359718,1.316416997726819,5.4194,4.103,17.31921624773407,-1.4002941823460644,-0.2201803558371923,5.9323,6.0236,1.5390320786204403,0.9110919618609814,0.7235325642336488,Coherent Epitaxy (Low Strain Risk),1.14,1.069,8.38,2.9252,Tier 1: Next-Gen Breakthrough
Ba2SnSe5 / Ba2DyCl7,Ba2SnSe5,Ba2DyCl7,0.6667346563671873,75.64674130093768,0.0265801791311208,0.6534445668016269,0.6800247459327478,67.98391800747426,87.44078093365688,1.3426169977268192,5.4194,4.0768,17.31921624773407,-1.3586203035143225,0.0042189952904239,6.2206,6.0236,3.1668970838825845,0.8256393083131008,0.728356422867534,Semi-Coherent (Moderate Strain Risk),1.132,1.076,8.38,2.9248,Tier 1: Next-Gen Breakthrough
Ba4P2O / Al2H16S3O20,Ba4P2O,Al2H16S3O20,0.5999244350603709,79.12391121555225,0.0155750865904613,0.5921368917651402,0.6077119783556015,71.70347941961694,89.04806219163292,1.2965169977268192,5.6055,4.309,18.38077615890793,-0.225293079718766,-0.2719424460431655,3.996,4.348,8.808808808808806,0.5868811599231961,0.429508884172873,Requires Buffer Layer (High Dislocation Risk),1.197,0.635,8.894,2.9244,Tier 2: Competitive Alternative
AgAs3H2O9 / AlH10SO9F,AgAs3H2O9,AlH10SO9F,0.6288969690510543,79.43441335358487,0.0246674090305309,0.6165632645357888,0.6412306735663198,73.67155503834142,89.21526754723016,1.091616997726819,5.459199999999999,4.3676,17.544680452886684,-0.3104726809457054,-0.1102665079219708,4.366,4.1709,4.46862116353642,0.763111152248171,0.6120635937918915,Semi-Coherent (Moderate Strain Risk),1.213,0.905,8.489,2.9242,Tier 1: Next-Gen Breakthrough
Ba2Mn(AsO4)2 / AlPO4,Ba2Mn(AsO4)2,AlPO4,0.6511488908726604,75.57257932023887,0.0373493380251281,0.6324742218600963,0.6698235598852245,70.00280778979572,87.00654628928879,1.498186441755564,5.6178,4.1196,18.03944940586021,-0.6696392058474885,-0.1353529468880474,4.5418,4.0145,11.609934387247351,0.4953944176157664,0.5477313069947312,Requires Buffer Layer (High Dislocation Risk),1.144,0.809,8.729,2.9232,Tier 2: Competitive Alternative
Ba2SnSe5 / Ba2B11H7O22,Ba2SnSe5,Ba2B11H7O22,0.6295611985218116,77.5614321409651,0.0277520239168447,0.6156851865633892,0.643437210480234,71.32235704412629,88.22836262604015,1.3426169977268192,5.6652,4.3226,18.725422882466763,-1.0587621978853536,-0.0848100680146207,6.2206,3.737,39.92540912452175,0.0893238051109594,0.3430177841962289,Requires Buffer Layer (High Dislocation Risk),1.201,0.507,9.061,2.9229,Tier 2: Competitive Alternative
Ba2Na2U(S2O)2 / Al(PO3)3,Ba2Na2U(S2O)2,Al(PO3)3,0.598117286481382,79.71495795932383,0.0332148790724997,0.5815098469451321,0.6147247260176318,76.12998191271252,88.77730975691526,1.5081917121269697,5.8176,4.3094,18.868908617826648,-0.4777292522017662,-0.1517612660695224,4.7776,3.7814,20.8514735432016,0.2832248569314448,0.3118239995744126,Requires Buffer Layer (High Dislocation Risk),1.197,0.461,9.13,2.9226,Tier 2: Competitive Alternative
Ba2Zr6BCl17 / AlPO4,Ba2Zr6BCl17,AlPO4,0.6368304011496356,77.73671186902843,0.0308263732060474,0.6214172145466119,0.6522435877526593,72.21086865215328,88.20767704472695,1.3409169977268192,5.6178,4.2769,18.45154623957488,-0.8023384857203895,0.0610488905515678,5.4162,4.0145,25.87976810309811,0.2089362765835028,0.4130881183782604,Requires Buffer Layer (High Dislocation Risk),1.188,0.61,8.928,2.9209,Tier 2: Competitive Alternative
Ag3AsSe3 / Al2H16S3O20,Ag3AsSe3,Al2H16S3O20,0.5935649623199252,80.40129867119816,0.0182228470574852,0.5844535387911826,0.6026763858486678,74.13677906439776,89.65048860673296,1.146016997726819,5.6055,4.4595,18.38077615890793,-1.430730581469404,-0.2613073214485928,4.9369,4.348,11.928538151471567,0.4859368712023617,0.3884119050489565,Requires Buffer Layer (High Dislocation Risk),1.239,0.574,8.894,2.9199,Tier 2: Competitive Alternative
Ba2As2Se5 / Ba2HoCl7,Ba2As2Se5,Ba2HoCl7,0.6336111176735032,78.77711950908959,0.0301059557210483,0.618558139812979,0.6486640955340274,73.78747218952142,88.6573226285659,1.2791169977268189,5.4559,4.1768,17.526026148831015,-1.572209965642359,-0.0242290748898678,5.8789,6.0199,2.398407865417,0.8649326158313135,0.6482425635071585,Semi-Coherent (Moderate Strain Risk),1.16,0.958,8.48,2.9195,Tier 1: Next-Gen Breakthrough
Ba2MnSe3 / Ba2B11H7O22,Ba2MnSe3,Ba2B11H7O22,0.6241405447601742,76.81208886922268,0.026224433793492,0.6110283278634282,0.6372527616569202,69.85052883815207,87.91085178152387,1.322916997726819,5.6652,4.3423,18.725422882466763,-0.7979316823773144,-0.2203210280266218,5.7412,3.737,34.90907824148262,0.1209958255448696,0.3311256577946418,Requires Buffer Layer (High Dislocation Risk),1.206,0.489,9.061,2.9189,Tier 2: Competitive Alternative
AcFeO3 / Al2Si(O2F)2,AcFeO3,Al2Si(O2F)2,0.5876089315172723,77.9878763001756,0.0166964327661152,0.5792607151342147,0.5959571479003299,70.17655045382341,88.44766062183052,1.263816997726819,5.706199999999999,4.4424,18.962858081970115,-0.7580762831111101,-0.3108229785701422,4.5658,3.4472,24.499540058697274,0.2271323995610908,0.2501726868891329,Requires Buffer Layer (High Dislocation Risk),1.234,0.37,9.176,2.9169,Tier 2: Competitive Alternative
Ba2As2Se5 / Ba2B11H7O22,Ba2As2Se5,Ba2B11H7O22,0.6159537280492897,79.09582381299674,0.0226471185367059,0.6046301687809368,0.6272772873176428,72.80881308253238,89.0484348227981,1.2791169977268189,5.6652,4.3861,18.725422882466763,-1.2756925796800558,-0.1188983379311917,5.8789,3.737,36.43368657401895,0.1103345640583332,0.3154783623495859,Requires Buffer Layer (High Dislocation Risk),1.218,0.466,9.061,2.9157,Tier 2: Competitive Alternative
Ba3ThSe7 / Ba2B11H7O22,Ba3ThSe7,Ba2B11H7O22,0.6092269522949967,79.67159892001399,0.0200821644873993,0.5991858700512971,0.6192680345386964,73.2927709944248,89.3159621721418,1.178416997726819,5.6652,4.486800000000001,18.725422882466763,-0.6323107932280332,-0.0766693411785682,6.3102,3.737,40.77842223701309,0.0848309738389919,0.2926990085873747,Requires Buffer Layer (High Dislocation Risk),1.246,0.433,9.061,2.9151,Tier 2: Competitive Alternative
Ba2MnTe3 / Ba2CaP4(H3O8)2,Ba2MnTe3,Ba2CaP4(H3O8)2,0.6337910556155719,77.30254117795685,0.0257241413020253,0.6209289849645593,0.6466531262665847,70.58193897211385,88.10523466116125,1.0806169977268187,5.4657,4.3851,17.581490207109955,-1.1014921552093573,-0.2300289617112494,3.6507,3.8994,6.812392143972387,0.6622251171651993,0.5791525161994553,Requires Buffer Layer (High Dislocation Risk),1.218,0.856,8.507,2.9136,Tier 2: Competitive Alternative
