Material_Pair,Design_Thickness_nm,Design_Trap_Depth_eV,Voltage_Applied_V,Voltage_Effective_V,J_OFF_A_m2,J_ON_A_m2,I_OFF_A,I_ON_A
Candidate_0,2.0,0.2,0.95,0.95,6819595.274829742,7294595.274829742,6.819595274829742e-08,7.294595274829742e-08
Candidate_0,2.0,0.2,1.0,1.0,7622362.064180854,8122362.064180854,7.622362064180854e-08,8.122362064180854e-08
Candidate_0,2.0,0.2,1.05,1.05,8519502.872872213,9044502.872872213,8.519502872872212e-08,9.044502872872213e-08
Candidate_0,2.0,0.2,1.1,1.1,9523815.66565219,10000000.0,9.523815665652189e-08,1e-07
Candidate_0,2.0,0.2,1.15,1.15,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.2,1.2,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.25,1.25,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.3,1.3,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.35,1.35,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.4,1.4,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.45,1.45,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.5,1.5,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.55,1.55,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.6,1.6,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.65,1.65,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.7,1.7,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.75,1.75,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.8,1.8,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.85,1.85,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.9,1.9,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,1.95,1.95,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.0,2.0,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.05,2.05,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.1,2.1,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.15,2.15,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.2,2.2,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.25,2.25,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.3,2.3,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.35,2.35,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.4,2.4,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.45,2.45,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.5,2.5,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.55,2.55,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.6,2.6,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.65,2.65,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.7,2.7,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.75,2.75,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.8,2.8,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.85,2.85,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.9,2.9,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,2.95,2.95,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.2,3.0,3.0,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,-3.0,-3.0,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.95,-2.95,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.9,-2.9,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.85,-2.85,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.8,-2.8,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.75,-2.75,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.7,-2.7,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.65,-2.65,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.6,-2.6,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.55,-2.55,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.5,-2.5,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.45,-2.45,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.4,-2.4,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.35,-2.35,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.3,-2.3,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.25,-2.25,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.2,-2.2,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.15,-2.15,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.1,-2.1,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.05,-2.05,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-2.0,-2.0,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.95,-1.95,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.9,-1.9,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.85,-1.85,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.8,-1.8,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.75,-1.75,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.7,-1.7,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.65,-1.65,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.6,-1.6,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.55,-1.55,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.5,-1.5,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.45,-1.45,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.4,-1.4,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.35,-1.35,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.3,-1.3,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.25,-1.25,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.2,-1.2,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.15,-1.15,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.3,-1.1,-1.1,-9523815.665652141,-10000000.0,-9.523815665652141e-08,-1e-07
Candidate_0,2.0,0.3,-1.05,-1.05,-8519502.872872213,-9044502.872872213,-8.519502872872212e-08,-9.044502872872213e-08
Candidate_0,2.0,0.3,-1.0,-1.0,-7622362.064180854,-8122362.064180854,-7.622362064180854e-08,-8.122362064180854e-08
Candidate_0,2.0,0.3,-0.95,-0.95,-6819595.274829743,-7294595.274829743,-6.819595274829744e-08,-7.294595274829743e-08
Candidate_0,2.0,0.3,-0.9,-0.9,-6099969.754008823,-6549969.754008823,-6.099969754008823e-08,-6.549969754008823e-08
Candidate_0,2.0,0.3,-0.85,-0.85,-5453610.611235014,-5878610.611235014,-5.453610611235014e-08,-5.878610611235014e-08
Candidate_0,2.0,0.3,-0.8,-0.8,-4871819.693960729,-5271819.693960729,-4.871819693960729e-08,-5.271819693960729e-08
Candidate_0,2.0,0.3,-0.75,-0.75,-4346918.55682776,-4721918.55682776,-4.34691855682776e-08,-4.7219185568277604e-08
Candidate_0,2.0,0.3,-0.7,-0.7,-3872112.500539737,-4222112.500539737,-3.872112500539737e-08,-4.222112500539737e-08
Candidate_0,2.0,0.3,-0.65,-0.65,-3441372.720947377,-3766372.720947377,-3.441372720947377e-08,-3.766372720947377e-08
Candidate_0,2.0,0.3,-0.6,-0.6,-3049333.928099451,-3349333.928099451,-3.049333928099451e-08,-3.349333928099451e-08
Candidate_0,2.0,0.3,-0.55,-0.55,-2691205.1497802134,-2966205.1497802134,-2.6912051497802133e-08,-2.9662051497802134e-08
Candidate_0,2.0,0.3,-0.5,-0.5,-2362691.7592868973,-2612691.7592868973,-2.3626917592868972e-08,-2.6126917592868972e-08
Candidate_0,2.0,0.3,-0.45,-0.45,-2059927.0482427087,-2284927.0482427087,-2.0599270482427087e-08,-2.2849270482427087e-08
Candidate_0,2.0,0.3,-0.4,-0.4,-1779411.9029183576,-1979411.9029183576,-1.7794119029183576e-08,-1.9794119029183577e-08
Candidate_0,2.0,0.3,-0.35,-0.35,-1517961.3417647958,-1692961.3417647956,-1.5179613417647958e-08,-1.6929613417647957e-08
Candidate_0,2.0,0.3,-0.3,-0.3,-1272656.838054904,-1422656.838054904,-1.272656838054904e-08,-1.422656838054904e-08
Candidate_0,2.0,0.3,-0.25,-0.25,-1040803.4895767891,-1089850.2029223228,-1.040803489576789e-08,-1.0898502029223228e-08
Candidate_0,2.0,0.3,-0.2,-0.2,-819891.2113455491,-832612.4851643571,-8.19891211345549e-09,-8.326124851643572e-09
Candidate_0,2.0,0.3,-0.15,-0.15,-607559.2207099367,-610216.0262480249,-6.075592207099367e-09,-6.102160262480249e-09
Candidate_0,2.0,0.3,-0.1,-0.1,-401563.1597856598,-401951.9010697783,-4.015631597856598e-09,-4.019519010697783e-09
Candidate_0,2.0,0.3,-0.05,-0.05,-199744.2600585592,-199771.19501120457,-1.997442600585592e-09,-1.9977119501120457e-09
Candidate_0,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Candidate_0,2.0,0.3,0.05,0.05,199744.26005855872,199771.1950112041,1.9974426005855873e-09,1.997711950112041e-09
Candidate_0,2.0,0.3,0.1,0.1,401563.1597856596,401951.9010697781,4.015631597856596e-09,4.019519010697781e-09
Candidate_0,2.0,0.3,0.15,0.15,607559.2207099389,610216.0262480272,6.075592207099389e-09,6.102160262480272e-09
Candidate_0,2.0,0.3,0.2,0.2,819891.2113455526,832612.4851643608,8.198912113455527e-09,8.326124851643608e-09
Candidate_0,2.0,0.3,0.25,0.25,1040803.4895767891,1089850.2029223228,1.040803489576789e-08,1.0898502029223228e-08
Candidate_0,2.0,0.3,0.3,0.3,1272656.8380549082,1422656.8380549084,1.2726568380549081e-08,1.4226568380549085e-08
Candidate_0,2.0,0.3,0.35,0.35,1517961.3417647968,1692961.3417647968,1.5179613417647968e-08,1.6929613417647967e-08
Candidate_0,2.0,0.3,0.4,0.4,1779411.9029183614,1979411.9029183616,1.7794119029183612e-08,1.9794119029183617e-08
Candidate_0,2.0,0.3,0.45,0.45,2059927.048242709,2284927.048242709,2.059927048242709e-08,2.284927048242709e-08
Candidate_0,2.0,0.3,0.5,0.5,2362691.7592868973,2612691.7592868973,2.3626917592868972e-08,2.6126917592868972e-08
Candidate_0,2.0,0.3,0.55,0.55,2691205.1497802134,2966205.1497802134,2.6912051497802133e-08,2.9662051497802134e-08
Candidate_0,2.0,0.3,0.6,0.6,3049333.9280994507,3349333.9280994507,3.0493339280994504e-08,3.3493339280994505e-08
Candidate_0,2.0,0.3,0.65,0.65,3441372.720947383,3766372.720947383,3.441372720947383e-08,3.766372720947383e-08
Candidate_0,2.0,0.3,0.7,0.7,3872112.500539751,4222112.500539751,3.872112500539751e-08,4.222112500539751e-08
Candidate_0,2.0,0.3,0.75,0.75,4346918.55682776,4721918.55682776,4.34691855682776e-08,4.7219185568277604e-08
Candidate_0,2.0,0.3,0.8,0.8,4871819.693960737,5271819.693960737,4.871819693960737e-08,5.2718196939607374e-08
Candidate_0,2.0,0.3,0.85,0.85,5453610.611235014,5878610.611235014,5.453610611235014e-08,5.878610611235014e-08
Candidate_0,2.0,0.3,0.9,0.9,6099969.754008822,6549969.754008822,6.099969754008822e-08,6.549969754008822e-08
Candidate_0,2.0,0.3,0.95,0.95,6819595.274829742,7294595.274829742,6.819595274829742e-08,7.294595274829742e-08
Candidate_0,2.0,0.3,1.0,1.0,7622362.064180854,8122362.064180854,7.622362064180854e-08,8.122362064180854e-08
Candidate_0,2.0,0.3,1.05,1.05,8519502.872872213,9044502.872872213,8.519502872872212e-08,9.044502872872213e-08
Candidate_0,2.0,0.3,1.1,1.1,9523815.66565219,10000000.0,9.523815665652189e-08,1e-07
Candidate_0,2.0,0.3,1.15,1.15,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.2,1.2,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.25,1.25,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.3,1.3,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.35,1.35,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.4,1.4,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.45,1.45,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.5,1.5,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.55,1.55,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.6,1.6,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.65,1.65,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.7,1.7,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.75,1.75,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.8,1.8,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.85,1.85,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.9,1.9,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,1.95,1.95,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.0,2.0,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.05,2.05,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.1,2.1,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.15,2.15,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.2,2.2,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.25,2.25,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.3,2.3,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.35,2.35,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.4,2.4,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.45,2.45,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.5,2.5,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.55,2.55,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.6,2.6,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.65,2.65,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.7,2.7,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.75,2.75,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.8,2.8,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.85,2.85,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.9,2.9,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,2.95,2.95,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.3,3.0,3.0,10000000.0,10000000.0,1e-07,1e-07
Candidate_0,2.0,0.4,-3.0,-3.0,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.95,-2.95,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.9,-2.9,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.85,-2.85,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.8,-2.8,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.75,-2.75,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.7,-2.7,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.65,-2.65,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.6,-2.6,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.55,-2.55,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.5,-2.5,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.45,-2.45,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.4,-2.4,-10000000.0,-10000000.0,-1e-07,-1e-07
Candidate_0,2.0,0.4,-2.35,-2.35,-10000000.0,-10000000.0,-1e-07,-1e-07
